,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-27 18:00:00,-13.391,0.0,0,0.0,13.391,0,0,-13.391
2017-02-27 18:30:00,-10.779,0.0,0,0.0,10.779,0,0,-10.779
2017-02-27 19:00:00,-10.143,0.0,0,0.0,10.143,0,0,-10.143
2017-02-27 19:30:00,-10.655,0.0,0,0.0,10.655,0,0,-10.655
2017-02-27 20:00:00,-10.562,0.0,0,0.0,10.562,0,0,-10.562
2017-02-27 20:30:00,-10.844,0.0,0,0.0,10.844,0,0,-10.844
2017-02-27 21:00:00,-10.165,0.0,0,0.0,10.165,0,0,-10.165
2017-02-27 21:30:00,-10.151,0.0,0,0.0,10.151,0,0,-10.151
2017-02-27 22:00:00,-9.37,0.0,0,0.0,9.37,0,0,-9.37
2017-02-27 22:30:00,-9.133,0.0,0,0.0,9.133,0,0,-9.133
