,participant_sgsc_8179191, participant_sgsc_10833550,participant_sgsc_8179201,participant_sgsc_8179203,participant_sgsc_11187547,participant_sgsc_8179325,participant_sgsc_8184557,participant_sgsc_8185307,participant_sgsc_8194183,participant_sgsc_8194293,participant_sgsc_8196697,participant_sgsc_8198461,participant_sgsc_8199981,participant_sgsc_11187479,participant_sgsc_8208299,participant_sgsc_8143511,participant_sgsc_8145435,participant_sgsc_8147667,participant_sgsc_8149627,participant_sgsc_8150103,participant_sgsc_8150621,participant_sgsc_8154361,participant_sgsc_8154379,participant_sgsc_8158119,participant_sgsc_8158169,participant_sgsc_8162493,participant_sgsc_8163687,participant_sgsc_8164165,participant_sgsc_8164189,participant_sgsc_8164629,participant_sgsc_8164917,participant_sgsc_8168401,participant_sgsc_8170269,participant_sgsc_8170449,participant_sgsc_8176603,participant_sgsc_8181075,participant_sgsc_8181131,participant_sgsc_8184621,participant_sgsc_8184657,participant_sgsc_8184717,participant_sgsc_8184761,participant_sgsc_8184841,participant_sgsc_8185081,participant_sgsc_8185473,participant_sgsc_8188425,participant_sgsc_8188437,participant_sgsc_8192177,participant_sgsc_8192969,participant_sgsc_8193367,participant_sgsc_8194445,participant_sgsc_8194455,participant_sgsc_8194487,participant_sgsc_8194599,participant_sgsc_8195329,participant_sgsc_8196591,participant_sgsc_8196593,participant_sgsc_8196659,participant_sgsc_8196663,participant_sgsc_8199887,participant_sgsc_8199905
2017-06-29 11:00:00,0.2760023383333334,0.12081641458333334,0.11030603283333335,0.6423014913333333,0.33209429733333334,0.14688655208333334,0.2694436405833333,0.07325899533333333,0.15605226358333332,0.2766609523333333,0.19318162783333334,0.45311461983333334,0.09016342133333335,0.3521545820833334,0.13354961858333333,0.42262628008333336,0.5071484100833333,1.0707573405833333,0.5014404220833334,0.10657388683333335,0.26403751733333336,0.4747939973333334,0.06993848308333334,0.5031143993333332,0.15204569508333335,0.26104631208333334,0.21593125308333336,0.44886107108333334,0.7962799560833335,0.5391735158333334,0.34748939958333336,0.31016793958333333,0.020569875333333335,0.3885430055833333,0.24263256233333336,0.21807174858333336,0.3151075445833334,0.14277021458333333,0.7603854930833335,0.10706784733333334,0.2559146113333333,0.8856044798333333,0.07668927658333334,0.4868685873333333,0.6213356123333335,0.14858797158333334,0.36219844558333336,0.22410904358333336,0.16623333833333334,0.12152991308333334,0.19318162783333334,0.18368660933333336,0.15402153708333333,0.4372255570833334,0.5738330775833334,0.14729818583333334,0.13824224333333332,0.3384060148333333,0.7199905010833334,0.17120916710333334
2017-06-29 11:30:00,0.23604642233333337,0.18031121258333335,0.11996570483333335,0.7053088973333332,0.3446079633333334,0.12361552408333334,0.20006963258333335,0.07325899533333333,0.14925536710333334,0.27622187633333334,0.22435602383333336,0.42062299583333335,0.28050286733333335,0.3468856700833334,0.14847820258333333,0.31702850208333333,0.26631522408333336,0.7737224265833333,0.5611547580833334,0.09274299283333334,0.2609639853333333,0.4989431773333334,0.06401095708333335,0.3700743713333333,0.14414232708333335,0.23887297408333336,0.21637032908333334,0.5094535590833333,0.8696056480833333,0.6801169118333334,0.34595263358333334,0.2533075975833333,0.016398653333333332,0.3815177895833334,0.24834055033333333,0.22136481858333337,0.4066548905833333,0.17174923058333333,0.6723507550833333,0.11211722133333335,0.2559146113333333,0.7714447198333334,0.07251805458333334,0.4429609873333334,0.5756717083333334,0.13124446958333333,0.3681259715833333,0.20720461758333336,0.16206211633333334,0.11911499508333334,0.17144736583333334,0.14021808533333333,0.15950998708333333,0.4578621290833334,0.5477080555833335,0.13083283583333333,0.12177689333333334,0.3504806048333334,0.7439201430833334,0.16351655558333333
2017-06-29 12:00:00,0.29598029633333334,0.24046462458333334,0.11030603283333335,0.7689749173333333,0.3373632093333333,0.12229829608333334,0.19238580258333335,0.07369807133333334,0.15078335158333336,0.2757828003333333,0.22150202983333336,0.3185378258333334,0.11914243733333334,0.34073860608333334,0.14847820258333333,0.25402109608333334,0.28102427008333336,0.6865658405833334,0.5106610180833333,0.11381864083333335,0.32419092933333343,0.5081637733333333,0.048862835083333334,0.39510170333333333,0.13140912308333333,0.13832457008333335,0.2752065130833334,0.3873904310833333,0.9662023680833335,0.5756168238333333,0.30863117358333336,0.23069518358333335,0.020569875333333335,0.38832346758333336,0.25317038633333333,0.21609590658333336,0.5921645005833334,0.14342882858333333,0.6539095630833334,0.10860461333333334,0.2552559973333333,1.0847254458333333,0.06944452258333333,0.4605240273333334,0.7304459983333333,0.14573397758333334,0.37076042758333333,0.20918045958333334,0.15898858433333335,0.12306667908333334,0.18418056983333334,0.14965821933333334,0.15402153708333333,0.4569839770833334,0.5569286515833334,0.14071204583333335,0.28445455133333336,0.15992162083333333,0.7559947330833334,0.15056381358333334
2017-06-29 12:30:00,0.23911995433333336,0.13859899258333336,0.13621151683333332,0.7255063933333334,0.3373632093333333,0.14293486808333333,0.19677656258333334,0.07369807133333334,0.14902704758333335,0.2766609523333333,0.19076670983333335,0.2871438918333334,0.12111827933333336,0.33678692208333333,0.14518513258333335,0.15500945808333333,0.2720232120833333,0.6027023245833334,0.4944152060833333,0.09603606283333335,0.27742933533333336,0.5097005393333334,0.05720527908333334,0.38895463933333335,0.14655724508333334,0.18969646208333332,0.2644491510833334,0.4585207430833334,0.8823388520833334,0.5705674498333334,0.3132414715833333,0.23223194958333335,0.016398653333333332,0.38173732758333334,0.2566829943333333,0.21631544458333335,0.4329994505833334,0.14760005058333334,0.6387614410833333,0.10706784733333334,0.27984425333333335,1.0697968618333333,0.07998234658333334,0.5268245033333333,0.5925761343333333,0.15034427558333335,0.3725167315833333,0.26494311158333334,0.16952640833333335,0.12460344508333333,0.19120578583333336,0.13912039533333334,0.15929044908333334,0.4611551990833334,0.5547332715833333,0.13171098783333335,0.17249017133333333,0.16101931083333335,0.6705944510833334,0.15363734558333336
2017-06-29 13:00:00,0.2806126363333334,0.3014961885833333,0.16716637483333335,0.6401061113333334,0.41639688933333335,0.14425209608333334,0.18404335858333334,0.07347853333333335,0.21181491558333335,0.2771000283333333,0.20393898983333333,0.28670481583333335,0.13494917333333334,0.33678692208333333,0.14430698058333333,0.20682042608333334,0.25599693808333335,0.6007264825833334,0.4909025980833334,0.07759487083333333,0.39663846933333335,0.49740641133333335,0.06686495108333335,0.33999766533333337,0.14084925708333332,0.14996008408333333,0.21790709508333336,0.45017829908333334,0.8191119080833333,0.7923008298333333,0.3106070155833333,0.3191689975833334,0.020789413333333333,0.38832346758333336,0.2588783743333333,0.22334066058333332,0.6771257065833334,0.14650236058333332,0.6409568210833334,0.11299537333333334,0.48774673933333335,0.8283050618333334,0.06483422458333334,0.43725299933333334,0.5170550623333334,0.14353859758333334,0.3907471671033334,0.26516264958333335,0.15437828633333334,0.15511922708333334,0.33061241583333334,0.14943868133333335,0.15424107508333335,0.4602770470833334,0.5545137335833333,0.42852636383333337,0.30970142133333334,0.18187542083333336,0.6677404570833334,0.17010269558333335
2017-06-29 13:30:00,0.23648549833333338,0.38294478658333336,0.16826406483333334,0.6385693453333334,0.4741353833333334,0.14491071008333334,0.17679860458333335,0.07369807133333334,0.17273715158333336,0.2771000283333333,0.20064591983333332,0.27660606783333336,0.11431260133333335,0.33766507408333335,0.15682064658333333,0.17015758008333334,0.24963033608333335,0.8101657345833334,0.48870721808333334,0.09910959483333336,0.4045418373333334,0.5132131473333333,0.059400659083333335,0.3325333733333333,0.14897216308333333,0.19518491208333333,0.20671065708333333,0.27696281708333337,0.7280036380833333,0.8711149718333333,0.32070576358333336,0.2539662115833333,0.017935419333333334,0.38437178358333335,0.24790147433333332,0.21697405858333335,0.5767968405833334,0.15660110858333334,0.6398591310833334,0.11058045533333334,0.49103980933333335,0.7571747498333334,0.07690881458333335,0.5004799433333333,0.6637064463333333,0.15297873158333336,0.40083713358333334,0.22608488558333334,0.16645287633333336,0.12504252108333333,0.28538758783333334,0.14219392733333333,0.15885137308333333,0.5175764650833333,0.5982017955833334,0.31173214783333336,0.27369718933333337,0.17704558483333335,0.6776196670833333,0.15188104158333335
2017-06-29 14:00:00,0.22660628833333332,0.3741632665833334,0.13730920683333334,0.5918077513333333,0.5151889893333333,0.14469117208333335,0.18843411858333337,0.07347853333333335,0.16812685358333335,0.27688049033333334,0.22830770783333335,0.28604620183333335,0.11980105133333334,0.33810415008333333,0.15813787458333334,0.16686451008333333,0.24172696808333333,0.7432066445833334,0.48541414808333344,0.11140372283333334,0.5610724313333334,0.5309957253333334,0.05983973508333333,0.3211173973333334,0.14084925708333332,0.20484458408333334,0.18146378708333333,0.2705962150833333,0.6937557100833334,0.8965813798333334,0.33036543558333337,0.23707056710333335,0.019033109333333333,0.3854694735833334,0.24351071433333338,0.23739109258333335,0.4819564245833334,0.14452651858333335,0.6376637510833334,0.11343444933333334,0.48291690333333337,0.7481736918333334,0.07295713058333334,0.5107982293333333,0.6531686223333334,0.34595263358333334,0.4280598455833334,0.26494311158333334,0.16250119233333335,0.12482298308333334,0.25596949583333334,0.15426851733333335,0.15489968908333335,0.5750954210833333,0.5492448215833333,0.23160077783333335,0.16326957533333336,0.16936175483333335,0.6730093690833334,0.14749028158333335
2017-06-29 14:30:00,0.21738569233333338,0.19436164458333333,0.15706762683333333,0.4943328793333334,0.47545261133333333,0.14622793808333334,0.42114439858333336,0.07369807133333334,0.16812685358333335,0.32122716633333337,0.20569529383333335,0.2851680498333333,0.16590403133333334,0.3392018400833333,0.14430698058333333,0.18311032208333333,0.29156209408333333,0.6826141565833334,0.5519341620833335,0.09559698683333334,0.5318738773333332,0.5061879313333333,0.05896158308333334,0.3290207653333333,0.15775368308333335,0.28519549208333334,0.18146378708333333,0.2684008350833334,0.6873891080833334,1.0388420038333335,0.39600729758333336,0.23069518358333335,0.028253705333333337,0.3872257775833333,0.24329117633333336,0.23146356658333334,0.38162755858333336,0.14650236058333332,0.6802541230833333,0.13319286933333335,0.42122672533333333,0.9521244938333335,0.06944452258333333,0.4868685873333333,0.8237496483333333,0.18568989358333335,0.38942115758333334,0.43245060558333337,0.15898858433333335,0.11735869108333334,0.22128249183333334,0.19751750333333334,0.15907091108333335,0.6396395930833334,0.5503425115833334,0.22391694783333335,0.13209517933333334,0.17023990683333334,0.7059400690833334,0.14617305358333335
2017-06-29 15:00:00,0.019301109964912282,0.03664461196491228,0.07001438796491229,0.09043142196491229,0.29196730596491227,0.05618349396491229,0.2397172619649123,0.02303325596491228,0.1562928219649123,0.10623815796491229,0.03247338996491228,0.051353657964912286,0.10536000596491228,0.11106799396491229,0.03049754796491228,0.05091458196491229,0.3622194659649122,0.0884555799649123,0.03313200396491228,0.004945583333333333,0.16617203196491231,0.0060255833333333324,0.016886191964912284,0.05157319596491228,0.012145583333333333,0.4908687339649122,0.03005847196491228,0.31984863196491226,0.023252793964912283,0.44366806396491226,0.13016779996491226,0.05047550596491229,0.1341194839649123,0.08516250996491229,0.02588724996491228,0.04937781596491228,0.1562928219649123,0.042572137964912285,0.06716039396491229,0.04059629596491228,0.23642419196491232,0.2193002279649123,0.032692927964912286,0.45771849596491226,0.29438222396491226,0.08274759196491228,0.06540408996491229,0.06825808396491229,0.032692927964912286,0.03137569996491228,0.2684767399649123,0.05354903796491228,0.02083787596491228,0.1000910939649123,0.032253851964912275,0.1064576959649123,0.047841049964912286,0.051353657964912286,0.13587578796491226,0.05728118396491229
2017-06-29 15:30:00,0.02870830422988506,0.03397721622988506,0.032659988229885056,0.09764323622988508,0.25351521622988504,0.05329656022988506,0.02761061422988506,0.023219854229885057,0.10422937622988507,0.10642475622988506,0.038807052229885064,0.04100243222988506,0.04736903422988506,0.08227557622988507,0.10905921222988509,0.042539198229885056,0.37272435022988504,0.14286806422988504,0.037709362229885066,0.010225583333333333,0.17733553022988505,0.014657872229885056,0.01839001822988506,0.05373563622988506,0.010705583333333334,0.19687441222988505,0.03024507022988506,0.20104563422988506,0.015096948229885058,0.48490826822988514,0.13057393622988508,0.04122197022988505,0.08403188022988506,0.3057652602298851,0.02607384822988506,0.04451504022988506,0.21114438222988507,0.04912533822988506,0.3760174202298851,0.04100243222988506,0.21355930022988504,0.07744574022988507,0.02256124022988506,0.13737961422988507,0.18326305622988506,0.06998144822988507,0.06405392222988505,0.05066210422988507,0.02256124022988506,0.053516098229885053,0.24034293622988503,0.043636888229885054,0.02563477222988506,0.05373563622988506,0.031123222229885058,0.10379030022988507,0.054174712229885055,0.04824718622988507,0.09983861622988507,0.07393313222988505
