participant_id,participant_type,retail_tariff_type,network_tariff_type,retailer,solar_path,load_path,solar_capacity
 participant_sgsc_8265322,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8266320,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8267282,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8276492,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8293986,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8300884,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8301404,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_11021964,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8319834,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_11021726,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8364476,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8371432,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8378356,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8380128,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8381642,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8313580,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8314358,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8319592,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8320546,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8328854,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_8329518,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
 participant_sgsc_11466575,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_3.csv,0
