participant_id,participant_type,retail_tariff_type,network_tariff_type,retailer,solar_path,load_path,solar_capacity
 participant_sgsc_8211405,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8211959,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8212131,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8212147,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8212151,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8215653,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8216255,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8216387,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8234210,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8235402,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_11127627,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8235526,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8247122,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8253532,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8260264,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8201891,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8202129,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8202467,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8202477,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8202531,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8203961,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8205045,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8205119,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
 participant_sgsc_8208913,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_2.csv,0
