participant_id,participant_type,retail_tariff_type,network_tariff_type,retailer,solar_path,load_path,solar_capacity
 participant_sgsc_8688208,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_10880998,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_8688226,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_8688252,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_8688276,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_8804942,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_8989392,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9007998,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_10859500,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9070938,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9070966,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9083392,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9083442,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9083456,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_9085806,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
 participant_sgsc_10042604,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_6.csv,0
