participant_id,participant_type,retail_tariff_type,network_tariff_type,retailer,solar_path,load_path,solar_capacity
 participant_sgsc_11013470,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8407902,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8429826,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8447213,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8450627,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8478509,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8496916,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8497381,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8513994,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8514938,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8530494,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8533930,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8534032,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8559241,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8573089,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8450073,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8450081,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8450213,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8450277,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8456023,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8458379,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8462159,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8471995,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8473721,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8473737,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8474939,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8476875,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8478605,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8490966,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8493738,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8494866,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8506712,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8507310,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8507396,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8507606,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8510074,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8516846,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8518920,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8524492,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8525452,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8529970,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8531402,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8531416,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8531432,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8533986,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8534036,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8534074,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8534468,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8539362,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8541768,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8541774,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8546414,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8548466,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8549888,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8549898,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8565065,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8570067,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8579341,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8587756,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
 participant_sgsc_8587790,solar,Business TOU,LV TOU <100MWh,ENOVA,emily_a300_solar_data.csv,EN_4.csv,0
